"Fact","Fact Note","Brooke County, West Virginia","Value Note for Brooke County, West Virginia"
"Population Estimates, July 1, 2022, (V2022)","","21,733",""
"Population estimates base, April 1, 2020, (V2022)","","22,551",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2022, (V2022)","","-3.6%",""
"Population, Census, April 1, 2020","","22,559",""
"Population, Census, April 1, 2010","","24,069",""
"Persons under 5 years, percent","","4.1%",""
"Persons under 18 years, percent","","17.2%",""
"Persons 65 years and over, percent","","25.3%",""
"Female persons, percent","","50.4%",""
"White alone, percent","","96.0%",""
"Black or African American alone, percent","(a)","1.6%",""
"American Indian and Alaska Native alone, percent","(a)","0.2%",""
"Asian alone, percent","(a)","0.6%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","Z",""
"Two or More Races, percent","","1.7%",""
"Hispanic or Latino, percent","(b)","1.2%",""
"White alone, not Hispanic or Latino, percent","","95.1%",""
"Veterans, 2017-2021","","1,422",""
"Foreign born persons, percent, 2017-2021","","1.5%",""
"Housing units, July 1, 2022, (V2022)","","10,685",""
"Owner-occupied housing unit rate, 2017-2021","","72.8%",""
"Median value of owner-occupied housing units, 2017-2021","","$93,500",""
"Median selected monthly owner costs -with a mortgage, 2017-2021","","$995",""
"Median selected monthly owner costs -without a mortgage, 2017-2021","","$322",""
"Median gross rent, 2017-2021","","$548",""
"Building permits, 2022","","11",""
"Households, 2017-2021","","9,811",""
"Persons per household, 2017-2021","","2.21",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","","89.6%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","","2.3%",""
"Households with a computer, percent, 2017-2021","","87.7%",""
"Households with a broadband Internet subscription, percent, 2017-2021","","79.3%",""
"High school graduate or higher, percent of persons age 25 years+, 2017-2021","","92.9%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","","20.5%",""
"With a disability, under age 65 years, percent, 2017-2021","","12.2%",""
"Persons without health insurance, under age 65 years, percent","","6.5%",""
"In civilian labor force, total, percent of population age 16 years+, 2017-2021","","54.4%",""
"In civilian labor force, female, percent of population age 16 years+, 2017-2021","","49.5%",""
"Total accommodation and food services sales, 2017 ($1,000)","(c)","35,442",""
"Total health care and social assistance receipts/revenue, 2017 ($1,000)","(c)","233,089",""
"Total transportation and warehousing receipts/revenue, 2017 ($1,000)","(c)","18,887",""
"Total retail sales, 2017 ($1,000)","(c)","284,190",""
"Total retail sales per capita, 2017","(c)","$12,684",""
"Mean travel time to work (minutes), workers age 16 years+, 2017-2021","","24.3",""
"Median household income (in 2021 dollars), 2017-2021","","$51,210",""
"Per capita income in past 12 months (in 2021 dollars), 2017-2021","","$28,203",""
"Persons in poverty, percent","","13.0%",""
"Total employer establishments, 2021","","375",""
"Total employment, 2021","","6,111",""
"Total annual payroll, 2021 ($1,000)","","276,539",""
"Total employment, percent change, 2020-2021","","-9.7%",""
"Total nonemployer establishments, 2020","","897",""
"All employer firms, Reference year 2017","","310",""
"Men-owned employer firms, Reference year 2017","","149",""
"Women-owned employer firms, Reference year 2017","","61",""
"Minority-owned employer firms, Reference year 2017","","S",""
"Nonminority-owned employer firms, Reference year 2017","","237",""
"Veteran-owned employer firms, Reference year 2017","","S",""
"Nonveteran-owned employer firms, Reference year 2017","","222",""
"Population per square mile, 2020","","252.9",""
"Population per square mile, 2010","","269.8",""
"Land area in square miles, 2020","","89.20",""
"Land area in square miles, 2010","","89.21",""
"FIPS Code","","""54009""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
