"Fact","Fact Note","Natrona County, Wyoming","Value Note for Natrona County, Wyoming"
"Population Estimates, July 1, 2022, (V2022)","","79,601",""
"Population estimates base, April 1, 2020, (V2022)","","79,955",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2022, (V2022)","","-0.4%",""
"Population, Census, April 1, 2020","","79,955",""
"Population, Census, April 1, 2010","","75,450",""
"Persons under 5 years, percent","","5.7%",""
"Persons under 18 years, percent","","23.4%",""
"Persons 65 years and over, percent","","17.2%",""
"Female persons, percent","","49.4%",""
"White alone, percent","","93.7%",""
"Black or African American alone, percent","(a)","1.3%",""
"American Indian and Alaska Native alone, percent","(a)","1.4%",""
"Asian alone, percent","(a)","1.0%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.1%",""
"Two or More Races, percent","","2.6%",""
"Hispanic or Latino, percent","(b)","9.6%",""
"White alone, not Hispanic or Latino, percent","","85.6%",""
"Veterans, 2017-2021","","5,449",""
"Foreign born persons, percent, 2017-2021","","2.0%",""
"Housing units, July 1, 2022, (V2022)","","37,325",""
"Owner-occupied housing unit rate, 2017-2021","","71.7%",""
"Median value of owner-occupied housing units, 2017-2021","","$218,700",""
"Median selected monthly owner costs -with a mortgage, 2017-2021","","$1,475",""
"Median selected monthly owner costs -without a mortgage, 2017-2021","","$426",""
"Median gross rent, 2017-2021","","$895",""
"Building permits, 2022","","207",""
"Households, 2017-2021","","32,634",""
"Persons per household, 2017-2021","","2.39",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","","87.3%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","","5.8%",""
"Households with a computer, percent, 2017-2021","","94.3%",""
"Households with a broadband Internet subscription, percent, 2017-2021","","87.6%",""
"High school graduate or higher, percent of persons age 25 years+, 2017-2021","","94.0%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","","24.9%",""
"With a disability, under age 65 years, percent, 2017-2021","","10.3%",""
"Persons without health insurance, under age 65 years, percent","","13.9%",""
"In civilian labor force, total, percent of population age 16 years+, 2017-2021","","67.8%",""
"In civilian labor force, female, percent of population age 16 years+, 2017-2021","","62.6%",""
"Total accommodation and food services sales, 2017 ($1,000)","(c)","211,070",""
"Total health care and social assistance receipts/revenue, 2017 ($1,000)","(c)","751,806",""
"Total transportation and warehousing receipts/revenue, 2017 ($1,000)","(c)","392,778",""
"Total retail sales, 2017 ($1,000)","(c)","1,386,045",""
"Total retail sales per capita, 2017","(c)","$17,408",""
"Mean travel time to work (minutes), workers age 16 years+, 2017-2021","","18.0",""
"Median household income (in 2021 dollars), 2017-2021","","$64,100",""
"Per capita income in past 12 months (in 2021 dollars), 2017-2021","","$36,804",""
"Persons in poverty, percent","","10.7%",""
"Total employer establishments, 2021","","2,930",""
"Total employment, 2021","","30,537",""
"Total annual payroll, 2021 ($1,000)","","1,608,456",""
"Total employment, percent change, 2020-2021","","-5.5%",""
"Total nonemployer establishments, 2020","","6,357",""
"All employer firms, Reference year 2017","","2,484",""
"Men-owned employer firms, Reference year 2017","","1,266",""
"Women-owned employer firms, Reference year 2017","","354",""
"Minority-owned employer firms, Reference year 2017","","119",""
"Nonminority-owned employer firms, Reference year 2017","","1,936",""
"Veteran-owned employer firms, Reference year 2017","","S",""
"Nonveteran-owned employer firms, Reference year 2017","","1,835",""
"Population per square mile, 2020","","15.0",""
"Population per square mile, 2010","","14.1",""
"Land area in square miles, 2020","","5,340.54",""
"Land area in square miles, 2010","","5,340.35",""
"FIPS Code","","""56025""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
